idna_subject,checker_type,destination,tested_at
15minutes.at,AVAILABILITY,origin.list,2021-09-27 20:35:22.223797
18023.ebizv4l.ebusiness-challenge.at,AVAILABILITY,origin.list,2021-09-27 20:35:30.428751
21-willhaben.at,AVAILABILITY,origin.list,2021-09-27 20:36:06.613493
2rad-hero.de,AVAILABILITY,origin.list,2021-09-27 20:36:50.014824
4na.weebly.com,AVAILABILITY,origin.list,2021-09-27 20:37:57.156463
4-willhaben.at,AVAILABILITY,origin.list,2021-09-27 20:38:47.440969
500-gebrauchte.at,AVAILABILITY,origin.list,2021-09-27 20:38:51.275900
5-willhaben.at,AVAILABILITY,origin.list,2021-09-27 20:39:22.738015
66-willhaben.at,AVAILABILITY,origin.list,2021-09-27 20:39:48.526715
abh-uhren.de,AVAILABILITY,origin.list,2021-09-27 20:54:06.964454
abkingpro.at,AVAILABILITY,origin.list,2021-09-27 20:54:32.710294
account-manager.at,AVAILABILITY,origin.list,2021-09-27 20:57:28.758667
agrece.com,AVAILABILITY,origin.list,2021-09-27 21:04:05.437213
amadeoh.at,AVAILABILITY,origin.list,2021-09-27 21:14:11.106913
amboss-haarscheren.at,AVAILABILITY,origin.list,2021-09-27 21:14:58.621521
ament.at,AVAILABILITY,origin.list,2021-09-27 21:15:29.138495
ams-markt.de,AVAILABILITY,origin.list,2021-09-27 21:18:19.400143
architektur-leben.at,AVAILABILITY,origin.list,2021-09-27 21:26:45.142600
ardesign.at,AVAILABILITY,origin.list,2021-09-27 21:27:07.218638
asb-ruhrgebiet.de,AVAILABILITY,origin.list,2021-09-27 21:29:47.029374
assipozzi.it,AVAILABILITY,origin.list,2021-09-27 21:32:09.541477
audiwa.de,AVAILABILITY,origin.list,2021-09-27 21:36:23.634939
austria-ramsau.at,AVAILABILITY,origin.list,2021-09-27 21:37:54.308151
auto-moll.at,AVAILABILITY,origin.list,2021-09-27 21:38:24.392884
avi-media.at,AVAILABILITY,origin.list,2021-09-27 21:40:14.494691
az-photo.at,AVAILABILITY,origin.list,2021-09-27 21:43:38.549886
baby-croozer.de,AVAILABILITY,origin.list,2021-09-27 21:44:08.343691
baechleundco.de,AVAILABILITY,origin.list,2021-09-27 21:45:36.484284
baeckerei-huber.at,AVAILABILITY,origin.list,2021-09-27 21:45:41.098568
baristateam.at,AVAILABILITY,origin.list,2021-09-27 21:47:58.987558
barytabzug.de,AVAILABILITY,origin.list,2021-09-27 21:49:01.576933
base57.at,AVAILABILITY,origin.list,2021-09-27 21:49:18.864190
baumarkt-rehm.de,AVAILABILITY,origin.list,2021-09-27 21:50:50.763157
baumarkt-spahn.de,AVAILABILITY,origin.list,2021-09-27 21:51:06.905028
